plate,column,row,experiment,cpd1,dose1,cpd2,dose2
1,1,B,Cpd_1,Cpd_1,1.157,NA,NA
1,1,C,Cpd_2,Cpd_2,0.51,NA,NA
1,1,D,Cpd_3,Cpd_3,0.496,NA,NA
1,1,E,Cpd_4,Cpd_4,51.288,NA,NA
1,1,F,Cpd_5,Cpd_5,9.907,NA,NA
1,1,G,Cpd_6,Cpd_6,0.1,NA,NA
1,1,H,untreated,NA,NA,NA,NA
1,1,A,untreated,NA,NA,NA,NA
1,2,B,Cpd_1,Cpd_1,1.272,NA,NA
1,2,C,Cpd_2,Cpd_2,0.693,NA,NA
1,2,D,Cpd_3,Cpd_3,0.635,NA,NA
1,2,E,Cpd_4,Cpd_4,67.187,NA,NA
1,2,F,Cpd_5,Cpd_5,11.194,NA,NA
1,2,G,Cpd_6,Cpd_6,0.152,NA,NA
1,2,H,untreated,NA,NA,NA,NA
1,2,A,untreated,NA,NA,NA,NA
1,3,B,Cpd_1,Cpd_1,1.4,NA,NA
1,3,C,Cpd_2,Cpd_2,0.942,NA,NA
1,3,D,Cpd_3,Cpd_3,0.813,NA,NA
1,3,E,Cpd_4,Cpd_4,88.015,NA,NA
1,3,F,Cpd_5,Cpd_5,12.65,NA,NA
1,3,G,Cpd_6,Cpd_6,0.231,NA,NA
1,3,H,untreated,NA,NA,NA,NA
1,3,A,untreated,NA,NA,NA,NA
1,4,B,Cpd_1,Cpd_1,1.539,NA,NA
1,4,C,Cpd_2,Cpd_2,1.282,NA,NA
1,4,D,Cpd_3,Cpd_3,1.041,NA,NA
1,4,E,Cpd_4,Cpd_4,115.3,NA,NA
1,4,F,Cpd_5,Cpd_5,14.294,NA,NA
1,4,G,Cpd_6,Cpd_6,0.351,NA,NA
1,4,H,untreated,NA,NA,NA,NA
1,4,A,untreated,NA,NA,NA,NA
1,5,B,Cpd_1,Cpd_1,1.693,NA,NA
1,5,C,Cpd_2,Cpd_2,1.743,NA,NA
1,5,D,Cpd_3,Cpd_3,1.332,NA,NA
1,5,E,Cpd_4,Cpd_4,151.043,NA,NA
1,5,F,Cpd_5,Cpd_5,16.152,NA,NA
1,5,G,Cpd_6,Cpd_6,0.533,NA,NA
1,5,H,untreated,NA,NA,NA,NA
1,5,A,untreated,NA,NA,NA,NA
1,6,B,Cpd_1,Cpd_1,1.863,NA,NA
1,6,C,Cpd_2,Cpd_2,2.371,NA,NA
1,6,D,Cpd_3,Cpd_3,1.705,NA,NA
1,6,E,Cpd_4,Cpd_4,197.866,NA,NA
1,6,F,Cpd_5,Cpd_5,18.252,NA,NA
1,6,G,Cpd_6,Cpd_6,0.811,NA,NA
1,6,H,untreated,NA,NA,NA,NA
1,6,A,untreated,NA,NA,NA,NA
1,7,B,Cpd_1,Cpd_1,2.049,NA,NA
1,7,C,Cpd_2,Cpd_2,3.224,NA,NA
1,7,D,Cpd_3,Cpd_3,2.183,NA,NA
1,7,E,Cpd_4,Cpd_4,259.205,NA,NA
1,7,F,Cpd_5,Cpd_5,20.625,NA,NA
1,7,G,Cpd_6,Cpd_6,1.232,NA,NA
1,7,H,untreated,NA,NA,NA,NA
1,7,A,untreated,NA,NA,NA,NA
1,8,B,Cpd_1,Cpd_1,2.254,NA,NA
1,8,C,Cpd_2,Cpd_2,4.385,NA,NA
1,8,D,Cpd_3,Cpd_3,2.794,NA,NA
1,8,E,Cpd_4,Cpd_4,339.559,NA,NA
1,8,F,Cpd_5,Cpd_5,23.306,NA,NA
1,8,G,Cpd_6,Cpd_6,1.873,NA,NA
1,8,H,untreated,NA,NA,NA,NA
1,8,A,untreated,NA,NA,NA,NA
1,9,B,Cpd_1,Cpd_1,2.479,NA,NA
1,9,C,Cpd_2,Cpd_2,5.963,NA,NA
1,9,D,Cpd_3,Cpd_3,3.576,NA,NA
1,9,E,Cpd_4,Cpd_4,444.822,NA,NA
1,9,F,Cpd_5,Cpd_5,26.336,NA,NA
1,9,G,Cpd_6,Cpd_6,2.848,NA,NA
1,9,H,untreated,NA,NA,NA,NA
1,9,A,untreated,NA,NA,NA,NA
1,10,B,Cpd_1,Cpd_1,2.727,NA,NA
1,10,C,Cpd_2,Cpd_2,8.11,NA,NA
1,10,D,Cpd_3,Cpd_3,4.578,NA,NA
1,10,E,Cpd_4,Cpd_4,582.717,NA,NA
1,10,F,Cpd_5,Cpd_5,29.76,NA,NA
1,10,G,Cpd_6,Cpd_6,4.328,NA,NA
1,10,H,untreated,NA,NA,NA,NA
1,10,A,untreated,NA,NA,NA,NA
1,11,B,Cpd_1,Cpd_1,3,NA,NA
1,11,C,Cpd_2,Cpd_2,11.029,NA,NA
1,11,D,Cpd_3,Cpd_3,5.859,NA,NA
1,11,E,Cpd_4,Cpd_4,763.359,NA,NA
1,11,F,Cpd_5,Cpd_5,33.628,NA,NA
1,11,G,Cpd_6,Cpd_6,6.579,NA,NA
1,11,H,untreated,NA,NA,NA,NA
1,11,A,untreated,NA,NA,NA,NA
1,12,B,Cpd_1,Cpd_1,3.3,NA,NA
1,12,C,Cpd_2,Cpd_2,15,NA,NA
1,12,D,Cpd_3,Cpd_3,7.5,NA,NA
1,12,E,Cpd_4,Cpd_4,1000,NA,NA
1,12,F,Cpd_5,Cpd_5,38,NA,NA
1,12,G,Cpd_6,Cpd_6,10,NA,NA
1,12,H,untreated,NA,NA,NA,NA
1,12,A,untreated,NA,NA,NA,NA
2,1,B,Cpd_7,Cpd_7,1.938,NA,NA
2,1,C,Cpd_8,Cpd_8,260.698,NA,NA
2,1,D,Cpd_1-Cpd_2,Cpd_1,0.284,Cpd_2,0.391
2,1,E,Cpd_1-Cpd_3,Cpd_1,0.374,Cpd_3,0.364
2,1,F,Cpd_1-Cpd_4,Cpd_1,0.324,Cpd_4,36.407
2,1,G,Cpd_1-Cpd_5,Cpd_1,0.566,Cpd_5,5.542
2,1,H,untreated,NA,NA,NA,NA
2,1,A,untreated,NA,NA,NA,NA
2,2,B,Cpd_7,Cpd_7,2.112,NA,NA
2,2,C,Cpd_8,Cpd_8,294.588,NA,NA
2,2,D,Cpd_1-Cpd_2,Cpd_1,0.347,Cpd_2,0.477
2,2,E,Cpd_1-Cpd_3,Cpd_1,0.441,Cpd_3,0.43
2,2,F,Cpd_1-Cpd_4,Cpd_1,0.389,Cpd_4,43.688
2,2,G,Cpd_1-Cpd_5,Cpd_1,0.628,Cpd_5,6.152
2,2,H,untreated,NA,NA,NA,NA
2,2,A,untreated,NA,NA,NA,NA
2,3,B,Cpd_7,Cpd_7,2.302,NA,NA
2,3,C,Cpd_8,Cpd_8,332.885,NA,NA
2,3,D,Cpd_1-Cpd_2,Cpd_1,0.423,Cpd_2,0.582
2,3,E,Cpd_1-Cpd_3,Cpd_1,0.521,Cpd_3,0.507
2,3,F,Cpd_1-Cpd_4,Cpd_1,0.467,Cpd_4,52.426
2,3,G,Cpd_1-Cpd_5,Cpd_1,0.697,Cpd_5,6.828
2,3,H,untreated,NA,NA,NA,NA
2,3,A,untreated,NA,NA,NA,NA
2,4,B,Cpd_7,Cpd_7,2.509,NA,NA
2,4,C,Cpd_8,Cpd_8,376.16,NA,NA
2,4,D,Cpd_1-Cpd_2,Cpd_1,0.516,Cpd_2,0.71
2,4,E,Cpd_1-Cpd_3,Cpd_1,0.615,Cpd_3,0.598
2,4,F,Cpd_1-Cpd_4,Cpd_1,0.56,Cpd_4,62.911
2,4,G,Cpd_1-Cpd_5,Cpd_1,0.774,Cpd_5,7.579
2,4,H,untreated,NA,NA,NA,NA
2,4,A,untreated,NA,NA,NA,NA
2,5,B,Cpd_7,Cpd_7,2.735,NA,NA
2,5,C,Cpd_8,Cpd_8,425.061,NA,NA
2,5,D,Cpd_1-Cpd_2,Cpd_1,0.63,Cpd_2,0.867
2,5,E,Cpd_1-Cpd_3,Cpd_1,0.725,Cpd_3,0.706
2,5,F,Cpd_1-Cpd_4,Cpd_1,0.672,Cpd_4,75.493
2,5,G,Cpd_1-Cpd_5,Cpd_1,0.859,Cpd_5,8.413
2,5,H,untreated,NA,NA,NA,NA
2,5,A,untreated,NA,NA,NA,NA
2,6,B,Cpd_7,Cpd_7,2.981,NA,NA
2,6,C,Cpd_8,Cpd_8,480.319,NA,NA
2,6,D,Cpd_1-Cpd_2,Cpd_1,0.768,Cpd_2,1.057
2,6,E,Cpd_1-Cpd_3,Cpd_1,0.856,Cpd_3,0.833
2,6,F,Cpd_1-Cpd_4,Cpd_1,0.806,Cpd_4,90.591
2,6,G,Cpd_1-Cpd_5,Cpd_1,0.953,Cpd_5,9.339
2,6,H,untreated,NA,NA,NA,NA
2,6,A,untreated,NA,NA,NA,NA
2,7,B,Cpd_7,Cpd_7,3.25,NA,NA
2,7,C,Cpd_8,Cpd_8,542.76,NA,NA
2,7,D,Cpd_1-Cpd_2,Cpd_1,0.937,Cpd_2,1.29
2,7,E,Cpd_1-Cpd_3,Cpd_1,1.01,Cpd_3,0.983
2,7,F,Cpd_1-Cpd_4,Cpd_1,0.967,Cpd_4,108.71
2,7,G,Cpd_1-Cpd_5,Cpd_1,1.058,Cpd_5,10.366
2,7,H,untreated,NA,NA,NA,NA
2,7,A,untreated,NA,NA,NA,NA
2,8,B,Cpd_7,Cpd_7,3.542,NA,NA
2,8,C,Cpd_8,Cpd_8,613.319,NA,NA
2,8,D,Cpd_1-Cpd_2,Cpd_1,1.143,Cpd_2,1.574
2,8,E,Cpd_1-Cpd_3,Cpd_1,1.192,Cpd_3,1.16
2,8,F,Cpd_1-Cpd_4,Cpd_1,1.161,Cpd_4,130.452
2,8,G,Cpd_1-Cpd_5,Cpd_1,1.175,Cpd_5,11.506
2,8,H,untreated,NA,NA,NA,NA
2,8,A,untreated,NA,NA,NA,NA
2,9,B,Cpd_7,Cpd_7,3.861,NA,NA
2,9,C,Cpd_8,Cpd_8,693.05,NA,NA
2,9,D,Cpd_1-Cpd_2,Cpd_1,1.395,Cpd_2,1.92
2,9,E,Cpd_1-Cpd_3,Cpd_1,1.406,Cpd_3,1.369
2,9,F,Cpd_1-Cpd_4,Cpd_1,1.393,Cpd_4,156.542
2,9,G,Cpd_1-Cpd_5,Cpd_1,1.304,Cpd_5,12.772
2,9,H,untreated,NA,NA,NA,NA
2,9,A,untreated,NA,NA,NA,NA
2,10,B,Cpd_7,Cpd_7,4.208,NA,NA
2,10,C,Cpd_8,Cpd_8,783.147,NA,NA
2,10,D,Cpd_1-Cpd_2,Cpd_1,1.702,Cpd_2,2.342
2,10,E,Cpd_1-Cpd_3,Cpd_1,1.659,Cpd_3,1.615
2,10,F,Cpd_1-Cpd_4,Cpd_1,1.672,Cpd_4,187.85
2,10,G,Cpd_1-Cpd_5,Cpd_1,1.447,Cpd_5,14.177
2,10,H,untreated,NA,NA,NA,NA
2,10,A,untreated,NA,NA,NA,NA
2,11,B,Cpd_7,Cpd_7,4.587,NA,NA
2,11,C,Cpd_8,Cpd_8,884.956,NA,NA
2,11,D,Cpd_1-Cpd_2,Cpd_1,2.076,Cpd_2,2.857
2,11,E,Cpd_1-Cpd_3,Cpd_1,1.958,Cpd_3,1.906
2,11,F,Cpd_1-Cpd_4,Cpd_1,2.006,Cpd_4,225.42
2,11,G,Cpd_1-Cpd_5,Cpd_1,1.606,Cpd_5,15.736
2,11,H,untreated,NA,NA,NA,NA
2,11,A,untreated,NA,NA,NA,NA
2,12,B,Cpd_7,Cpd_7,5,NA,NA
2,12,C,Cpd_8,Cpd_8,1000,NA,NA
2,12,D,Cpd_1-Cpd_2,Cpd_1,2.533,Cpd_2,3.486
2,12,E,Cpd_1-Cpd_3,Cpd_1,2.311,Cpd_3,2.249
2,12,F,Cpd_1-Cpd_4,Cpd_1,2.407,Cpd_4,270.504
2,12,G,Cpd_1-Cpd_5,Cpd_1,1.783,Cpd_5,17.467
2,12,H,untreated,NA,NA,NA,NA
2,12,A,untreated,NA,NA,NA,NA
3,1,B,Cpd_1-Cpd_6,Cpd_1,0.172,Cpd_6,0.086
3,1,C,Cpd_1-Cpd_7,Cpd_1,0.624,Cpd_7,0.992
3,1,D,Cpd_1-Cpd_8,Cpd_1,0.519,Cpd_8,130.313
3,1,E,Cpd_2-Cpd_3,Cpd_2,0.293,Cpd_3,0.207
3,1,F,Cpd_2-Cpd_4,Cpd_2,0.27,Cpd_4,22.01
3,1,G,Cpd_2-Cpd_5,Cpd_2,0.369,Cpd_5,2.63
3,1,H,untreated,NA,NA,NA,NA
3,1,A,untreated,NA,NA,NA,NA
3,2,B,Cpd_1-Cpd_6,Cpd_1,0.222,Cpd_6,0.111
3,2,C,Cpd_1-Cpd_7,Cpd_1,0.68,Cpd_7,1.081
3,2,D,Cpd_1-Cpd_8,Cpd_1,0.581,Cpd_8,145.95
3,2,E,Cpd_2-Cpd_3,Cpd_2,0.387,Cpd_3,0.274
3,2,F,Cpd_2-Cpd_4,Cpd_2,0.361,Cpd_4,29.493
3,2,G,Cpd_2-Cpd_5,Cpd_2,0.458,Cpd_5,3.261
3,2,H,untreated,NA,NA,NA,NA
3,2,A,untreated,NA,NA,NA,NA
3,3,B,Cpd_1-Cpd_6,Cpd_1,0.286,Cpd_6,0.144
3,3,C,Cpd_1-Cpd_7,Cpd_1,0.742,Cpd_7,1.178
3,3,D,Cpd_1-Cpd_8,Cpd_1,0.651,Cpd_8,163.464
3,3,E,Cpd_2-Cpd_3,Cpd_2,0.511,Cpd_3,0.361
3,3,F,Cpd_2-Cpd_4,Cpd_2,0.484,Cpd_4,39.52
3,3,G,Cpd_2-Cpd_5,Cpd_2,0.568,Cpd_5,4.044
3,3,H,untreated,NA,NA,NA,NA
3,3,A,untreated,NA,NA,NA,NA
3,4,B,Cpd_1-Cpd_6,Cpd_1,0.369,Cpd_6,0.185
3,4,C,Cpd_1-Cpd_7,Cpd_1,0.808,Cpd_7,1.285
3,4,D,Cpd_1-Cpd_8,Cpd_1,0.729,Cpd_8,183.08
3,4,E,Cpd_2-Cpd_3,Cpd_2,0.674,Cpd_3,0.477
3,4,F,Cpd_2-Cpd_4,Cpd_2,0.649,Cpd_4,52.957
3,4,G,Cpd_2-Cpd_5,Cpd_2,0.704,Cpd_5,5.014
3,4,H,untreated,NA,NA,NA,NA
3,4,A,untreated,NA,NA,NA,NA
3,5,B,Cpd_1-Cpd_6,Cpd_1,0.476,Cpd_6,0.239
3,5,C,Cpd_1-Cpd_7,Cpd_1,0.881,Cpd_7,1.4
3,5,D,Cpd_1-Cpd_8,Cpd_1,0.816,Cpd_8,205.05
3,5,E,Cpd_2-Cpd_3,Cpd_2,0.89,Cpd_3,0.629
3,5,F,Cpd_2-Cpd_4,Cpd_2,0.869,Cpd_4,70.963
3,5,G,Cpd_2-Cpd_5,Cpd_2,0.873,Cpd_5,6.217
3,5,H,untreated,NA,NA,NA,NA
3,5,A,untreated,NA,NA,NA,NA
3,6,B,Cpd_1-Cpd_6,Cpd_1,0.614,Cpd_6,0.309
3,6,C,Cpd_1-Cpd_7,Cpd_1,0.96,Cpd_7,1.526
3,6,D,Cpd_1-Cpd_8,Cpd_1,0.914,Cpd_8,229.656
3,6,E,Cpd_2-Cpd_3,Cpd_2,1.175,Cpd_3,0.831
3,6,F,Cpd_2-Cpd_4,Cpd_2,1.165,Cpd_4,95.09
3,6,G,Cpd_2-Cpd_5,Cpd_2,1.083,Cpd_5,7.709
3,6,H,untreated,NA,NA,NA,NA
3,6,A,untreated,NA,NA,NA,NA
3,7,B,Cpd_1-Cpd_6,Cpd_1,0.792,Cpd_6,0.398
3,7,C,Cpd_1-Cpd_7,Cpd_1,1.047,Cpd_7,1.664
3,7,D,Cpd_1-Cpd_8,Cpd_1,1.024,Cpd_8,257.214
3,7,E,Cpd_2-Cpd_3,Cpd_2,1.55,Cpd_3,1.096
3,7,F,Cpd_2-Cpd_4,Cpd_2,1.561,Cpd_4,127.421
3,7,G,Cpd_2-Cpd_5,Cpd_2,1.343,Cpd_5,9.56
3,7,H,untreated,NA,NA,NA,NA
3,7,A,untreated,NA,NA,NA,NA
3,8,B,Cpd_1-Cpd_6,Cpd_1,1.022,Cpd_6,0.514
3,8,C,Cpd_1-Cpd_7,Cpd_1,1.141,Cpd_7,1.813
3,8,D,Cpd_1-Cpd_8,Cpd_1,1.147,Cpd_8,288.08
3,8,E,Cpd_2-Cpd_3,Cpd_2,2.047,Cpd_3,1.447
3,8,F,Cpd_2-Cpd_4,Cpd_2,2.091,Cpd_4,170.744
3,8,G,Cpd_2-Cpd_5,Cpd_2,1.665,Cpd_5,11.854
3,8,H,untreated,NA,NA,NA,NA
3,8,A,untreated,NA,NA,NA,NA
3,9,B,Cpd_1-Cpd_6,Cpd_1,1.319,Cpd_6,0.663
3,9,C,Cpd_1-Cpd_7,Cpd_1,1.244,Cpd_7,1.976
3,9,D,Cpd_1-Cpd_8,Cpd_1,1.284,Cpd_8,322.65
3,9,E,Cpd_2-Cpd_3,Cpd_2,2.701,Cpd_3,1.91
3,9,F,Cpd_2-Cpd_4,Cpd_2,2.802,Cpd_4,228.797
3,9,G,Cpd_2-Cpd_5,Cpd_2,2.065,Cpd_5,14.699
3,9,H,untreated,NA,NA,NA,NA
3,9,A,untreated,NA,NA,NA,NA
3,10,B,Cpd_1-Cpd_6,Cpd_1,1.701,Cpd_6,0.855
3,10,C,Cpd_1-Cpd_7,Cpd_1,1.356,Cpd_7,2.154
3,10,D,Cpd_1-Cpd_8,Cpd_1,1.438,Cpd_8,361.368
3,10,E,Cpd_2-Cpd_3,Cpd_2,3.566,Cpd_3,2.521
3,10,F,Cpd_2-Cpd_4,Cpd_2,3.755,Cpd_4,306.588
3,10,G,Cpd_2-Cpd_5,Cpd_2,2.561,Cpd_5,18.227
3,10,H,untreated,NA,NA,NA,NA
3,10,A,untreated,NA,NA,NA,NA
3,11,B,Cpd_1-Cpd_6,Cpd_1,2.194,Cpd_6,1.103
3,11,C,Cpd_1-Cpd_7,Cpd_1,1.478,Cpd_7,2.348
3,11,D,Cpd_1-Cpd_8,Cpd_1,1.611,Cpd_8,404.732
3,11,E,Cpd_2-Cpd_3,Cpd_2,4.707,Cpd_3,3.328
3,11,F,Cpd_2-Cpd_4,Cpd_2,5.032,Cpd_4,410.829
3,11,G,Cpd_2-Cpd_5,Cpd_2,3.175,Cpd_5,22.601
3,11,H,untreated,NA,NA,NA,NA
3,11,A,untreated,NA,NA,NA,NA
3,12,B,Cpd_1-Cpd_6,Cpd_1,2.831,Cpd_6,1.422
3,12,C,Cpd_1-Cpd_7,Cpd_1,1.611,Cpd_7,2.56
3,12,D,Cpd_1-Cpd_8,Cpd_1,1.804,Cpd_8,453.3
3,12,E,Cpd_2-Cpd_3,Cpd_2,6.213,Cpd_3,4.393
3,12,F,Cpd_2-Cpd_4,Cpd_2,6.742,Cpd_4,550.51
3,12,G,Cpd_2-Cpd_5,Cpd_2,3.937,Cpd_5,28.026
3,12,H,untreated,NA,NA,NA,NA
3,12,A,untreated,NA,NA,NA,NA
4,1,B,Cpd_2-Cpd_6,Cpd_2,0.176,Cpd_6,0.064
4,1,C,Cpd_2-Cpd_7,Cpd_2,0.377,Cpd_7,0.435
4,1,D,Cpd_2-Cpd_8,Cpd_2,0.376,Cpd_8,68.736
4,1,E,Cpd_3-Cpd_4,Cpd_3,0.224,Cpd_4,25.896
4,1,F,Cpd_3-Cpd_5,Cpd_3,0.338,Cpd_5,3.402
4,1,G,Cpd_3-Cpd_6,Cpd_3,0.144,Cpd_6,0.075
4,1,H,untreated,NA,NA,NA,NA
4,1,A,untreated,NA,NA,NA,NA
4,2,B,Cpd_2-Cpd_6,Cpd_2,0.253,Cpd_6,0.092
4,2,C,Cpd_2-Cpd_7,Cpd_2,0.46,Cpd_7,0.531
4,2,D,Cpd_2-Cpd_8,Cpd_2,0.467,Cpd_8,85.232
4,2,E,Cpd_3-Cpd_4,Cpd_3,0.292,Cpd_4,33.665
4,2,F,Cpd_3-Cpd_5,Cpd_3,0.406,Cpd_5,4.082
4,2,G,Cpd_3-Cpd_6,Cpd_3,0.201,Cpd_6,0.104
4,2,H,untreated,NA,NA,NA,NA
4,2,A,untreated,NA,NA,NA,NA
